status,service,path
500,PYC_CFG_SRV,/sap/opu/odata/sap/PYC_CFG_SRV
500,PIQ_REQUEST_SRV,/sap/opu/odata/sap/PIQ_REQUEST_SRV
500,GFD_CONFIG_SRV,/sap/opu/odata/sap/GFD_CONFIG_SRV
500,HRSFEC_INFOTYPE_SRV,/sap/opu/odata/sap/HRSFEC_INFOTYPE_SRV
500,PIQ_LPD_DEG_REQ_SRV,/sap/opu/odata/sap/PIQ_LPD_DEG_REQ_SRV
500,ADT_SRV,/sap/opu/odata/sap/ADT_SRV
500,PIQ_LPD_ADVISOR_SRV,/sap/opu/odata/sap/PIQ_LPD_ADVISOR_SRV
500,PYC_CONT_SRV,/sap/opu/odata/sap/PYC_CONT_SRV
200,PYC_TEAM_ALERTS_SRV,/sap/opu/odata/sap/PYC_TEAM_ALERTS_SRV
200,PYC_CONF_SRV,/sap/opu/odata/sap/PYC_CONF_SRV
200,PYC_CONT_PEM_002_SRV,/sap/opu/odata/sap/PYC_CONT_PEM_002_SRV
500,PYD_CONT_SRV,/sap/opu/odata/sap/PYD_CONT_SRV
200,PYC_FRW_SRV,/sap/opu/odata/sap/PYC_FRW_SRV
500,PYD_FRW_SRV,/sap/opu/odata/sap/PYD_FRW_SRV
200,PYC_CONT_002_SRV,/sap/opu/odata/sap/PYC_CONT_002_SRV
200,PYC_ALERT_MANAGER_SRV,/sap/opu/odata/sap/PYC_ALERT_MANAGER_SRV
500,PYC_CFG_VR_SRV,/sap/opu/odata/sap/PYC_CFG_VR_SRV
500,TSW_MYEVENTS_SRV,/sap/opu/odata/sap/TSW_MYEVENTS_SRV
500,TSW_MYNOMINATIONS_SRV_01,/sap/opu/odata/sap/TSW_MYNOMINATIONS_SRV_01
200,PYC_OFF_CYCLE_SRV,/sap/opu/odata/sap/PYC_OFF_CYCLE_SRV
500,PYC_KPI_CONFIG_1_SRV,/sap/opu/odata/sap/PYC_KPI_CONFIG_1_SRV
500,TSW_REGIONAL_INVENTORY_SRV_01,/sap/opu/odata/sap/TSW_REGIONAL_INVENTORY_SRV_01
200,PYC_CONT_003_SRV,/sap/opu/odata/sap/PYC_CONT_003_SRV
